X,Y
75,4
55,6
65,7
50,7
65,8
90,8
75,10
60,10
65,10
80,10
75,10
62,10
45,11
50,11
49,12
82,13
87,14
45,14
70,15
48,15
65,16
65,20
68,20
53,22
75,23
80,23
95,24
70,26
58,26
82,26
94,27
85,28
50,28
50,29
65,29
69,30
90,30
82,30
60,30
60,30
70,31
50,32
70,33
72,33
60,33
50,35
51,38
60,40
80,41
57,42
68,43
53,43
60,43
70,44
60,45
95,50
70,54
60,54
49,55
72,59
45,60
50,60
55,60
45,61
45,63
60,64
42,65
72,65
70,66
65,67
41,68
58,71
85,72
65,72
69,73
60,73
70,74
42,74
75,74
55,74
70,75
67,76
60,77
79,78
59,78
51,79
55,79
65,79
44,79
57,79
70,80
60,80
42,82
60,82
58,83
58,83
63,83
70,85
60,85
63,86
65,87
75,87
80,87
42,87
60,87
72,88
55,88
45,88
63,88
45,88
85,90
55,90
50,90
70,90
60,91
58,91
60,94
85,94
65,94
86,95
60,95
66,95
60,95
60,95
60,96
43,97
46,100
58,104
61,104
53,105
53,106
60,107
46,107
63,107
81,107
75,107
65,107
68,108
62,108
50,108
80,109
46,109
50,109
61,110
72,111
50,112
52,112
64,113
75,113
60,115
72,115
62,117
50,118
50,119
65,120
60,120
52,120
50,120
85,121
59,121
66,121
45,121
63,123
50,126
45,129
80,130
53,134
59,135
65,140
70,145
51,145
52,146
70,146
50,146
65,146
60,146
69,147
49,147
63,147
55,147
40,148
59,150
65,154
75,162
58,170
60,171
50,172
60,172
60,172
40,174
80,174
64,174
50,175
73,180
45,180
77,180
45,185
65,186
50,186
60,186
63,186
45,186
70,186
60,187
78,187
50,187
40,187
85,187
60,187
49,187
70,188
50,192
78,192
48,193
65,194
73,195
70,196
54,196
68,197
55,197
73,198
65,200
42,201
47,201
58,205
75,205
58,205
55,206
65,207
72,207
60,207
70,208
40,209
53,209
53,209
77,209
75,209
70,210
65,210
55,211
70,212
65,212
40,212
73,213
54,213
61,213
55,214
64,214
40,214
53,214
50,214
55,215
50,215
70,215
53,215
52,216
65,220
58,230
45,230
53,231
55,233
62,233
65,235
68,237
61,237
50,240
55,241
56,244
45,244
40,244
44,244
51,244
67,245
42,245
60,245
45,245
70,245
70,246
50,246
55,246
70,247
70,250
42,250
65,250
50,250
55,250
60,250
45,250
65,256
90,256
45,257
60,258
52,258
63,270
62,270
55,271
45,278
45,280
50,285
